@relation dataset2

@attribute neighbourhood numeric
@attribute price numeric
@attribute minimum_nights numeric
@attribute availability_365 numeric
@attribute room_type {'Private room','Entire home/apt','Shared room'}

@data
1,125,3,0,'Entire home/apt'
1,50,3,0,'Private room'
1,32,5,181,'Private room'
1,50,2,356,'Private room'
1,25,1,365,'Private room'
1,30,1,0,'Private room'
1,70,1,141,'Entire home/apt'
1,52,3,301,'Entire home/apt'
1,150,2,21,'Entire home/apt'
1,33,1,90,'Private room'
1,65,3,147,'Private room'
1,100,1,175,'Entire home/apt'
1,35,7,358,'Private room'
1,29,2,365,'Private room'
1,65,2,62,'Entire home/apt'
1,45,1,180,'Private room'
1,8,1,365,'Private room'
1,70,2,89,'Private room'
1,20,1,365,'Private room'
1,30,1,180,'Private room'
1,40,1,365,'Private room'
1,72,2,38,'Entire home/apt'
1,25,2,88,'Private room'
1,48,2,316,'Entire home/apt'
1,35,1,365,'Private room'
1,25,2,88,'Private room'
1,70,1,47,'Private room'
1,45,1,365,'Private room'
1,25,1,0,'Private room'
1,40,3,364,'Private room'
1,60,4,0,'Entire home/apt'
1,35,1,48,'Private room'
1,25,7,90,'Private room'
1,25,1,306,'Private room'
1,35,1,365,'Private room'
1,91,1,318,'Private room'
1,74,1,365,'Private room'
1,25,1,351,'Private room'
1,35,1,365,'Shared room'
1,30,1,159,'Private room'
1,60,1,26,'Entire home/apt'
1,39,1,0,'Private room'
1,80,1,365,'Private room'
27,22,1,250,'Private room'
27,25,1,20,'Private room'
27,30,1,360,'Private room'
27,39,1,0,'Private room'
27,20,14,0,'Private room'
27,30,1,88,'Private room'
27,34,2,88,'Private room'
27,50,1,365,'Private room'
27,42,1,364,'Private room'
27,30,3,362,'Private room'
27,70,2,363,'Private room'
27,35,2,363,'Private room'
27,25,3,365,'Private room'
